type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-02-09 08:01:08,47.58575984,18.39258400,10,178.957,44.372,0.470,216,8,12,,
T,2022-02-09 08:01:09,47.58572579,18.39261907,10,180.565,44.372,0.000,,9,12,,
T,2022-02-09 08:01:10,47.58571901,18.39262520,10,179.412,44.372,0.000,,9,12,,
T,2022-02-09 08:01:11,47.58572236,18.39262558,9,178.889,44.372,0.000,,10,12,,
T,2022-02-09 08:01:12,47.58572595,18.39262508,9,178.492,44.372,0.000,,12,12,,
T,2022-02-09 08:01:13,47.58572399,18.39261605,9,177.837,44.372,0.000,,12,12,,
T,2022-02-09 08:01:14,47.58572010,18.39261240,9,177.607,44.372,0.000,,12,12,,
T,2022-02-09 08:01:15,47.58571961,18.39261311,8,177.397,44.372,0.000,,11,12,,
T,2022-02-09 08:01:16,47.58572106,18.39261460,8,175.365,44.372,0.000,,12,12,,
T,2022-02-09 08:01:17,47.58572231,18.39261395,8,174.974,44.372,0.000,,12,12,,
T,2022-02-09 08:01:18,47.58572225,18.39261780,8,174.362,44.372,0.000,,12,12,,
T,2022-02-09 08:01:19,47.58572485,18.39262122,8,174.491,44.372,0.000,,11,12,,
T,2022-02-09 08:01:20,47.58572652,18.39261712,8,175.398,44.372,0.000,,11,12,,
T,2022-02-09 08:01:21,47.58572470,18.39262158,8,174.367,44.372,0.000,,12,12,,
T,2022-02-09 08:01:22,47.58572514,18.39262855,8,173.364,44.372,0.000,,12,12,,
T,2022-02-09 08:01:23,47.58572717,18.39263445,7,172.978,44.372,0.000,,12,12,,
T,2022-02-09 08:01:24,47.58572865,18.39264066,7,173.077,44.372,0.000,,12,12,,
T,2022-02-09 08:01:25,47.58572645,18.39264290,7,172.587,44.372,0.000,,12,12,,
T,2022-02-09 08:01:26,47.58571898,18.39265039,7,172.737,44.372,0.000,,12,13,,
T,2022-02-09 08:01:27,47.58571578,18.39265517,8,172.691,44.372,0.000,,12,13,,
T,2022-02-09 08:01:28,47.58571526,18.39265336,7,174.034,44.372,0.000,,12,13,,
T,2022-02-09 08:01:29,47.58571371,18.39265257,12,173.963,44.372,0.000,,12,13,,
T,2022-02-09 08:01:30,47.58571225,18.39265418,12,175.705,44.372,0.000,,11,13,,
T,2022-02-09 08:01:31,47.58571189,18.39265458,12,175.699,44.372,0.000,,11,13,,
T,2022-02-09 08:01:32,47.58571256,18.39265576,12,175.666,44.372,0.000,,11,13,,
T,2022-02-09 08:01:33,47.58571212,18.39265487,12,175.579,44.372,0.000,,11,13,,
T,2022-02-09 08:01:34,47.58571242,18.39265435,12,175.528,44.372,0.000,,11,13,,
T,2022-02-09 08:01:35,47.58571194,18.39265289,11,175.521,44.372,0.000,,12,13,,
T,2022-02-09 08:01:36,47.58570914,18.39264726,11,175.814,44.372,0.000,,12,13,,
T,2022-02-09 08:01:37,47.58570827,18.39264547,11,175.846,44.372,0.000,,12,13,,
T,2022-02-09 08:01:38,47.58570930,18.39264618,11,174.875,44.372,0.000,,12,13,,
T,2022-02-09 08:01:39,47.58570959,18.39264645,11,175.321,44.372,0.000,,12,13,,
T,2022-02-09 08:01:40,47.58570957,18.39264651,11,175.310,44.372,0.000,,12,13,,
T,2022-02-09 08:01:41,47.58571031,18.39264625,12,174.798,44.372,0.000,,10,13,,
T,2022-02-09 08:01:42,47.58571172,18.39264604,12,173.902,44.372,0.000,,10,13,,
T,2022-02-09 08:01:43,47.58571161,18.39264525,12,173.935,44.372,0.000,,11,13,,
T,2022-02-09 08:01:44,47.58571321,18.39264639,12,171.328,44.372,0.000,,11,13,,
T,2022-02-09 08:01:45,47.58571329,18.39264668,13,173.779,44.372,0.000,,11,13,,
T,2022-02-09 08:01:46,47.58571164,18.39264477,13,176.002,44.372,0.000,,11,13,,
T,2022-02-09 08:01:47,47.58571076,18.39264361,13,176.732,44.372,0.000,,12,13,,
T,2022-02-09 08:01:48,47.58571041,18.39264309,14,176.975,44.372,0.000,,12,13,,
T,2022-02-09 08:01:49,47.58571036,18.39264307,14,176.886,44.372,0.000,,12,13,,
