type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-09-29 14:28:49,47.65010655,17.66706138,4,120.331,44.250,0.000,,19,27,20210929-162849,GPS Logger: 20210929-162849 - Vezet02
T,2021-09-29 14:28:50,47.65010521,17.66705323,4,121.509,44.250,0.000,,19,27,,
T,2021-09-29 14:28:51,47.65010533,17.66705415,4,121.371,44.250,0.000,,20,27,,
T,2021-09-29 14:28:52,47.65010555,17.66705504,4,121.331,44.250,0.000,,20,27,,
T,2021-09-29 14:28:53,47.65010552,17.66705501,4,121.337,44.250,0.000,,20,27,,
T,2021-09-29 14:28:54,47.65010559,17.66705840,4,122.123,44.250,0.000,,20,27,,
T,2021-09-29 14:28:55,47.65010866,17.66705468,4,121.266,44.250,0.000,,20,27,,
T,2021-09-29 14:28:56,47.65011045,17.66705356,4,121.005,44.250,0.000,,21,27,,
T,2021-09-29 14:28:57,47.65011106,17.66705811,4,121.271,44.250,0.000,,21,27,,
T,2021-09-29 14:28:58,47.65011208,17.66705916,4,120.857,44.250,0.000,,21,27,,
T,2021-09-29 14:28:59,47.65011516,17.66706522,4,120.434,44.250,0.000,,20,27,,
T,2021-09-29 14:29:00,47.65011758,17.66707020,4,120.668,44.250,0.000,,20,27,,
T,2021-09-29 14:29:01,47.65011847,17.66707151,4,119.857,44.250,0.000,,21,27,,
T,2021-09-29 14:29:02,47.65011715,17.66707531,4,119.686,44.250,0.000,,20,27,,
T,2021-09-29 14:29:03,47.65011786,17.66707374,4,119.337,44.250,0.000,,21,26,,
T,2021-09-29 14:29:04,47.65011659,17.66707748,4,118.921,44.250,0.170,201,21,26,,
T,2021-09-29 14:29:05,47.65011202,17.66706919,4,118.303,44.250,0.930,209,21,26,,
T,2021-09-29 14:29:06,47.65010246,17.66705355,4,118.014,44.250,1.290,199,20,26,,
T,2021-09-29 14:29:07,47.65009071,17.66704227,4,117.766,44.250,1.540,183,18,26,,
T,2021-09-29 14:29:08,47.65007783,17.66704242,4,117.548,44.250,1.340,169,17,26,,
T,2021-09-29 14:29:09,47.65007157,17.66704256,4,118.019,44.250,0.520,168,19,26,,
T,2021-09-29 14:29:10,47.65007077,17.66703890,4,116.906,44.250,0.250,169,19,26,,
T,2021-09-29 14:29:11,47.65006922,17.66703720,4,116.892,44.250,1.960,164,19,26,,
T,2021-09-29 14:29:12,47.65008225,17.66701290,4,116.983,44.250,2.990,151,19,26,,
T,2021-09-29 14:29:13,47.65010493,17.66696197,4,116.843,44.250,3.840,295,19,26,,
T,2021-09-29 14:29:14,47.65012891,17.66690795,4,116.298,44.250,3.410,303,19,25,,
T,2021-09-29 14:29:15,47.65015021,17.66687473,4,116.606,44.250,2.940,328,18,25,,
T,2021-09-29 14:29:16,47.65018403,17.66686651,4,116.227,44.250,3.710,17,19,26,,
T,2021-09-29 14:29:17,47.65021770,17.66689541,4,115.519,44.250,4.410,51,20,26,,
T,2021-09-29 14:29:18,47.65026703,17.66694461,4,114.779,44.250,5.430,46,20,27,,
T,2021-09-29 14:29:19,47.65030714,17.66700474,4,115.989,44.250,6.470,45,22,27,,
T,2021-09-29 14:29:20,47.65036819,17.66706874,4,116.328,44.250,7.660,39,22,27,,
T,2021-09-29 14:29:21,47.65042955,17.66713345,4,117.277,44.250,7.970,38,22,28,,
T,2021-09-29 14:29:22,47.65049765,17.66721591,4,116.782,44.249,9.470,39,23,28,,
T,2021-09-29 14:29:23,47.65056962,17.66731182,4,117.399,44.249,10.760,40,22,28,,
T,2021-09-29 14:29:24,47.65065442,17.66739723,4,118.003,44.249,11.010,39,22,28,,
T,2021-09-29 14:29:25,47.65072993,17.66748994,4,118.165,44.249,10.720,40,22,28,,
T,2021-09-29 14:29:26,47.65080284,17.66757995,4,118.987,44.249,10.920,40,22,28,,
T,2021-09-29 14:29:27,47.65087317,17.66766732,4,120.273,44.249,10.540,40,22,28,,
T,2021-09-29 14:29:28,47.65094263,17.66774967,4,120.969,44.248,9.970,37,22,28,,
T,2021-09-29 14:29:29,47.65101150,17.66782282,4,120.913,44.248,9.540,33,22,28,,
T,2021-09-29 14:29:30,47.65109266,17.66789082,4,122.074,44.248,10.280,27,22,28,,
T,2021-09-29 14:29:31,47.65118662,17.66795347,4,122.216,44.248,10.890,23,23,28,,
T,2021-09-29 14:29:32,47.65127876,17.66801397,4,122.906,44.248,11.440,20,23,28,,
T,2021-09-29 14:29:33,47.65137908,17.66806677,4,123.106,44.247,11.960,19,23,28,,
T,2021-09-29 14:29:34,47.65148160,17.66812775,4,123.567,44.247,12.180,20,23,28,,
T,2021-09-29 14:29:35,47.65159087,17.66819137,4,123.897,44.247,12.370,20,23,28,,
T,2021-09-29 14:29:36,47.65169591,17.66825065,4,123.944,44.247,12.630,20,22,28,,
T,2021-09-29 14:29:37,47.65180280,17.66831078,4,124.540,44.246,12.570,20,22,28,,
T,2021-09-29 14:29:38,47.65190857,17.66836402,10,124.773,44.246,12.540,19,22,28,,
T,2021-09-29 14:29:39,47.65201668,17.66841997,10,125.840,44.246,12.730,19,22,28,,
T,2021-09-29 14:29:40,47.65212349,17.66848163,10,126.540,44.246,12.820,20,22,28,,
T,2021-09-29 14:29:41,47.65222925,17.66854164,10,127.391,44.245,12.720,20,22,28,,
T,2021-09-29 14:29:42,47.65233339,17.66859899,4,127.792,44.245,12.560,21,22,28,,
T,2021-09-29 14:29:43,47.65243589,17.66865435,4,127.933,44.245,12.100,21,22,28,,
T,2021-09-29 14:29:44,47.65253837,17.66870742,4,128.302,44.245,11.790,19,22,28,,
T,2021-09-29 14:29:45,47.65263227,17.66874821,4,128.493,44.244,11.000,15,22,28,,
T,2021-09-29 14:29:46,47.65272716,17.66877948,4,128.346,44.244,10.740,9,23,28,,
T,2021-09-29 14:29:47,47.65283125,17.66879916,4,128.652,44.244,11.070,4,23,28,,
T,2021-09-29 14:29:48,47.65293454,17.66879909,4,128.852,44.244,11.170,357,23,28,,
T,2021-09-29 14:29:49,47.65304033,17.66877933,4,128.908,44.243,11.170,350,24,28,,
T,2021-09-29 14:29:50,47.65314070,17.66874220,4,128.879,44.243,11.370,342,23,28,,
T,2021-09-29 14:29:51,47.65324080,17.66868741,4,128.901,44.243,11.480,333,23,28,,
T,2021-09-29 14:29:52,47.65332610,17.66860871,4,129.106,44.243,11.830,326,24,28,,
T,2021-09-29 14:29:53,47.65341635,17.66851306,4,129.773,44.243,12.430,323,24,28,,
T,2021-09-29 14:29:54,47.65350745,17.66840540,4,129.547,44.242,12.950,320,24,28,,
T,2021-09-29 14:29:55,47.65360362,17.66828848,4,129.436,44.242,13.520,318,24,28,,
T,2021-09-29 14:29:56,47.65369837,17.66816414,4,129.280,44.242,13.760,318,24,28,,
T,2021-09-29 14:29:57,47.65379550,17.66803445,4,129.507,44.242,14.150,318,24,28,,
T,2021-09-29 14:29:58,47.65388728,17.66791052,4,129.654,44.241,14.130,318,23,28,,
T,2021-09-29 14:29:59,47.65398268,17.66778578,4,129.397,44.241,13.960,319,22,28,,
T,2021-09-29 14:30:00,47.65407998,17.66766093,4,129.283,44.241,13.940,319,22,28,,
T,2021-09-29 14:30:01,47.65417357,17.66753764,4,129.369,44.241,13.840,319,22,28,,
T,2021-09-29 14:30:02,47.65426724,17.66742125,4,129.246,44.241,13.700,321,21,28,,
T,2021-09-29 14:30:03,47.65436860,17.66731199,4,129.163,44.240,13.760,326,21,28,,
T,2021-09-29 14:30:04,47.65447405,17.66720767,4,129.165,44.240,14.020,328,22,28,,
T,2021-09-29 14:30:05,47.65458109,17.66710907,4,129.226,44.240,14.230,329,22,28,,
T,2021-09-29 14:30:06,47.65469072,17.66701274,4,129.338,44.240,14.140,329,23,28,,
T,2021-09-29 14:30:07,47.65479870,17.66691858,4,129.565,44.239,14.040,329,22,28,,
T,2021-09-29 14:30:08,47.65490571,17.66682440,4,129.691,44.239,13.900,329,22,28,,
T,2021-09-29 14:30:09,47.65501222,17.66673070,4,129.383,44.239,13.860,329,21,28,,
T,2021-09-29 14:30:10,47.65512136,17.66663621,4,129.486,44.239,14.000,330,21,28,,
T,2021-09-29 14:30:11,47.65522636,17.66654686,4,129.154,44.238,13.750,330,19,28,,
T,2021-09-29 14:30:12,47.65533023,17.66645790,4,129.299,44.238,13.250,330,19,28,,
T,2021-09-29 14:30:13,47.65543141,17.66636949,4,129.843,44.238,12.840,329,21,28,,
T,2021-09-29 14:30:14,47.65552239,17.66628766,4,129.265,44.238,12.310,328,21,28,,
